year,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,super_over
2022,League,WP Saha,Wankhede Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,N
2022,League,TA Boult,Brabourne Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,N
2022,League,SN Thakur,Dr DY Patil Sports Academy,Delhi Capitals,Kings XI Punjab,Punjab Kings,field,Delhi Capitals,N
2022,League,RA Tripathi,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,N
2022,League,Q de Kock,Dr DY Patil Sports Academy,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,N
2022,League,V Kohli,Wankhede Stadium,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,N
2022,League,R Ashwin,Brabourne Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,N
2022,League,JJ Bumrah,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2022,League,Harpreet Brar,Wankhede Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Kings XI Punjab,N
2022,Qualifier 1,DA Miller,Eden Gardens,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2022,Eliminator,RM Patidar,Eden Gardens,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,N
2022,Qualifier 2,JC Buttler,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N
2022,Final,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,N
2023,League,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2023,League,Arshdeep Singh,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,N
2023,League,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,N
2023,League,JC Buttler,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,N
2023,League,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N
2023,League,MM Ali,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,N
2023,League,B Sai Sudharsan,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2023,League,NT Ellis,"Barsapara Cricket Stadium, Guwahati",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,N
2023,League,SN Thakur,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,N
2023,League,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,N
2023,League,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,N
2023,League,RA Jadeja,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N
2023,League,RK Singh,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Kolkata Knight Riders,N
2023,League,S Dhawan,Rajiv Gandhi International Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N
2023,League,N Pooran,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,N
2023,League,RG Sharma,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2023,League,R Ashwin,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,N
2023,League,MM Sharma,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2023,League,HC Brook,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,N
2023,League,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,N
2023,League,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Kings XI Punjab,Punjab Kings,field,Kings XI Punjab,N
2023,League,VR Iyer,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2023,League,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N
2023,League,DP Conway,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,N
2023,League,C Green,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,N
2023,League,MP Stoinis,Sawai Mansingh Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Lucknow Super Giants,N
2023,League,Mohammed Siraj,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,Kings XI Punjab,Punjab Kings,field,Royal Challengers Bangalore,N
2023,League,I Sharma,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,N
2023,League,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N
2023,League,MM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,N
2023,League,SM Curran,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,N
2023,League,GJ Maxwell,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,N
2023,League,AM Rahane,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,N
2023,League,AR Patel,Rajiv Gandhi International Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,N
2023,League,A Manohar,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,N
2023,League,CV Varun,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,N
2023,League,YBK Jaiswal,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,N
2023,League,MP Stoinis,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,Kings XI Punjab,Punjab Kings,field,Lucknow Super Giants,N
2023,League,J Little,Eden Gardens,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2023,League,MR Marsh,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N
2023,League,DP Conway,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,N
2023,League,YBK Jaiswal,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,N
2023,League,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N
2023,League,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Delhi Capitals,N
2023,League,AB de Villiers,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,N
2023,League,Ishan Kishan,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2023,League,CV Varun,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,N
2023,League,Rashid Khan,Sawai Mansingh Stadium,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,N
2023,League,M Pathirana,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N
2023,League,PD Salt,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,N
2023,League,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,N
2023,League,GD Phillips,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,N
2023,League,AD Russell,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,N
2023,League,SA Yadav,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2023,League,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,N
2023,League,YBK Jaiswal,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N
2023,League,SA Yadav,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,N
2023,League,PN Mankad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,N
2023,League,P Simran Singh,Arun Jaitley Stadium,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,N
2023,League,WD Parnell,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N
2023,League,RK Singh,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,N
2023,League,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,N
2023,League,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,N
2023,League,RR Rossouw,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,Kings XI Punjab,Punjab Kings,field,Delhi Capitals,N
2023,League,V Kohli,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N
2023,League,D Padikkal,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N
2023,League,RD Gaikwad,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,N
2023,League,N Pooran,Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,N
2023,League,C Green,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2023,League,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,N
2023,Qualifier 1,RD Gaikwad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,N
2023,Eliminator,Akash Madhwal,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,N
2023,Qualifier 2,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,N
2023,Final,DP Conway,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N
